program_id,n_total,n_admit,n_reject,admit_rate_smoothed
47c95a4261f4956d1cbd3d56c9af5271c6464564,2,2,0,0.5454545454545454
13f0d675c184c3a91690311e8e5281975e8985a9,1,1,0,0.5238095238095238
0b0006b9b172e7203030715645121666d9da5ac5,9,6,3,0.5517241379310345
ef0eb0aa03b071c715c81d0263440a855e571030,1,0,1,0.47619047619047616
4298f49610cbda1b441bf25a87314a384a8359f9,2,1,1,0.5
3f6cb8a79243df92a4717ed881bb389c2d8b6e1a,1,1,0,0.5238095238095238
351b989bf6d009629008caf57c9aab1883d2780e,3,2,1,0.5217391304347826
c6aa03f6ebc86cfe984228917788ab223aad8f64,36,33,3,0.7678571428571429
248895745f16964b0171c38789fc2746ee7b8e0b,11,7,4,0.5483870967741935
78cfc8f5c53f14c9a0c617773012e7699a267136,1,0,1,0.47619047619047616
549b145220efd2210a00a1c7c4a1afa887d0fb44,103,83,20,0.7560975609756098
741e2c41296926acf8beb41c1ee43014cb6ab50e,15,12,3,0.6285714285714286
5193ae61bf3d7706783999fbac1cc7677a811a51,1,1,0,0.5238095238095238
80217b90e4b1a95e2d933113a3370d4d0ce14a4e,7,5,2,0.5555555555555556
3425805b98dfda99bdba719b747c4cf8b4f68b6e,1,1,0,0.5238095238095238
a17a4ac673bbe3cf32cdfd9a95ede355d753c94e,2,2,0,0.5454545454545454
f0e47209b52786862d80936fca823f1b1456af77,2,1,1,0.5
a568621044144b00cce2974c30ed2c29caa15847,34,14,20,0.4444444444444444
52a1bc9b69563e07aafa34fd2c578a3fcd8d82af,14,11,3,0.6176470588235294
1ad2ec17f78d4adede2e93f08906d91ca9bec80b,2,2,0,0.5454545454545454
ca0be64914f2078a9ab095afd2c02813c3b7fad4,1,1,0,0.5238095238095238
f054832f44a4fae7e8d64801d4c60afb672de525,17,15,2,0.6756756756756757
a63fabf8c935140bf72b2aa46670cb7775bbbb9c,155,124,31,0.7657142857142857
1bf3ed091a7b639dcf94e277e41b85913c38207a,4,2,2,0.5
1be88f341f4029be752140c63c7ed73223d73ac7,11,0,11,0.3225806451612903
abe34a6598800e71576b589bc3142d23184faaac,2,2,0,0.5454545454545454
63a173e04be30010aebd401cadd9c8fed35e63b7,68,45,23,0.625
78a793ee475970349f26d5ab6e5adcf880379383,4,2,2,0.5
61bf33ee740bca25a54348e317458d7c42679b56,18,18,0,0.7368421052631579
725ca0a9cf8dec30a0cf95713d20ea0bb4c642b5,1,1,0,0.5238095238095238
e3136269567b390bb87437c8b994364cd0f3853e,18,13,5,0.6052631578947368
eb802d890c0169b6fd1c4897005ea3218b0b5d16,36,26,10,0.6428571428571429
c6d1c4de48f5639a1644394620a6164cde0f1ac0,14,12,2,0.6470588235294118
8d31d871e55873c963ea4cd33dc6b6a062d53b8d,6,5,1,0.5769230769230769
9d9210b13a6ee1117a459ae7ff2150b1550f7d99,1,1,0,0.5238095238095238
72aae2133389d816556cfe8932cf8d0d2dd839c7,3,2,1,0.5217391304347826
5ca0b3d72f2866c5d1154b82a21f5d2dc3d8d6cb,1,1,0,0.5238095238095238
2d8e002248f12b79c9c0ecdcf56b69c8cce1b2cd,10,8,2,0.6
99d5387dd485ff6b79eeed483926b74c4273332e,1,0,1,0.47619047619047616
a36c4c42329d9c3695110e0f17e3d89a92e38a85,1,0,1,0.47619047619047616
7ff68004ce1ca0de3a0fecd0d7ee0f958ce3c118,3,3,0,0.5652173913043478
ab5484b811996399edcecee4510db92d4e448b97,7,7,0,0.6296296296296297
a41b31e6c43a4b88845d704ab4b9651fef43f294,10,5,5,0.5
5c5ed156d4f3312d3822b21b3c400fd9849e39d9,1,0,1,0.47619047619047616
4a00a50a3a5bd9a70a4951d8248a3b8d471c2e7b,1,1,0,0.5238095238095238
fb64e02cfc1cfcf203bb4bd63c591427d968d118,13,10,3,0.6060606060606061
86c3930977ecf116ec7a1fc0dc4c1284714d89d8,38,22,16,0.5517241379310345
7db1ab23bfc4b407962032e1dd83cc1202acf24f,1,1,0,0.5238095238095238
a30ccf272140094925efcd99a061622ee47e0092,2,2,0,0.5454545454545454
9d0f1dee3160717a04ffadd8e26b366b834584fc,1,1,0,0.5238095238095238
a254dd4694899f60ac642737b00baf518735142f,15,2,13,0.34285714285714286
5c2b802b2ddbca6b09f5da395973eb6f64c2fb63,2,2,0,0.5454545454545454
023ff9170a924654cca9296881c4f5b5b39b41d0,2,1,1,0.5
e81a182968b844f706f1f015f73ba1850bb25f8f,1,1,0,0.5238095238095238
361ca47c6728587c4a7af6fe2029130ebb0c312c,1,0,1,0.47619047619047616
2d9ad923aa4b225e0dad60852bf253c7f745cff0,1,0,1,0.47619047619047616
ca0c724857552049971cc0afc0b07e0b52be6cfd,41,7,34,0.2786885245901639
115743bcb61b69c80eb5895a8fc672d1ffba7bb1,1,1,0,0.5238095238095238
9fb99bfaa2457ef5f859f94c7df0e938f2f849f9,37,25,12,0.6140350877192983
dc70721cfab3f90ca4c44c4abc45375b0b5cf49d,4,2,2,0.5
309d06162196bd5ed1953656a8d5a050b99c18da,1,0,1,0.47619047619047616
9288856bd78010a51d6660e552d3ef7526b08d28,1,1,0,0.5238095238095238
677e2a78510da854bf46f389ee94ef0cc5655dd0,131,93,38,0.6821192052980133
25e99d8fe434ddef88c8c7b2ec5f60d1ea367a36,25,2,23,0.26666666666666666
449cff33fea1e2b8b87f08459ebc992a79a67901,352,154,198,0.44086021505376344
94451383b956e29d076d35e7edc4199c986d916a,2,2,0,0.5454545454545454
dcc3834d0801cf26056abc20ab3e9c2d8bf36654,16,11,5,0.5833333333333334
e1bf685c1cf2a1e665a59db0af7eee31a6f75c50,2,1,1,0.5
8ed8844ed084eda5381a0a377dea87a3a0364eb0,1,0,1,0.47619047619047616
c943d93cff95dd7c1ec9e8331cad145b1ca0dd7a,2,1,1,0.5
8eb24def05b15856c32e3cfa8a910285249bb144,2,2,0,0.5454545454545454
89b4a40ec087c5b27de94e834adb07e1a9524819,205,197,8,0.92
ca483c5012b4c0e572a001076093d48ddd45c2aa,96,42,54,0.4482758620689655
c988d0a2a64d862a2c031eb9b352f9bd8ae918b1,1,0,1,0.47619047619047616
abb304fc0ce24082d1648134f916bdf5ceb988e0,1,1,0,0.5238095238095238
8ecf64b899792de209704e4fd277d638220d195a,1,0,1,0.47619047619047616
27fb53b39638b905447fb530380525524c622c0c,2,1,1,0.5
980996ea11c751e67a9c29ff2e0cddc7f6d9162c,3,3,0,0.5652173913043478
1c2589666a26957a176d0fe41794de577d1abfa0,1,0,1,0.47619047619047616
4150a123c3883189f42df7961635d25e175e61cf,1,1,0,0.5238095238095238
e09fe183ba52300f1dede165800cc79e65b2ed7e,1,1,0,0.5238095238095238
3aa69e13362858cf9ce4fd5b8f259b3feff841b2,2,1,1,0.5
26d13bea25a97b8fae596ef19a90b6c4b9653cef,1,1,0,0.5238095238095238
218571ba89cf808f33ad6dc0628c08f4c6ff42a7,1,0,1,0.47619047619047616
